Name_submitted,Accepted_name,Order,Matrix_name,Major Clade,Sample_Number,Sample_ID,Sample,Leaf Side,solidity8,wl_ratio
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.9,3.02.2,3.02,adaxial,0.35467470307417037,0.17214522380436903
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.1,3.03.1,3.03,,0.04337307243524967,0.9570856128840012
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.10,3.03.1,3.03,,0.10541432370050964,0.8069681466168728
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.11,3.03.1,3.03,,0.057019151625574784,0.6279840911161861
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.12,3.03.1,3.03,,0.09380930612978115,0.8030875956624582
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.13,3.03.1,3.03,,0.08550163057693964,0.426853812787784
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.14,3.03.1,3.03,,0.01715326748999844,0.7673702156962079
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.15,3.03.1,3.03,,0.08702735566995652,0.9778927274623631
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.16,3.03.1,3.03,,0.02140434150646374,0.6932600737228047
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.17,3.03.1,3.03,,0.07613561405857736,0.4279297843617629
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.18,3.03.1,3.03,,0.15876176991985674,0.7565253312856962
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.19,3.03.1,3.03,,0.06410265872087725,0.9220609796007007
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.2,3.03.1,3.03,,0.025173000618592723,0.8880304782344406
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.20,3.03.1,3.03,,0.11273574160161173,0.5943881012195775
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.21,3.03.1,3.03,,0.02850654606468804,0.8398052758552199
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.22,3.03.1,3.03,,0.058005988760820915,0.715689786488419
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.23,3.03.1,3.03,,0.09036008812679794,0.6631376628541672
